id,value
id_0,5.174960398984752
id_1,18.306214253527898
id_2,20.491218094180542
id_3,11.52394286980535
id_4,26.616056752306132
id_5,20.53134808176123
id_6,21.90655101879738
id_7,31.736468747068834
id_8,13.391674055111707
id_9,64.45646650291955
id_10,20.26456883615943
id_11,15.358576077361239
id_12,68.58947276926725
id_13,48.42811374745719
id_14,18.702333824193214
id_15,10.1885957374667
id_16,30.740362859820447
id_17,71.13221776355107
id_18,-4.130517391262456
id_19,18.23569401642869
id_20,38.57892227500775
id_21,71.31151972531332
id_22,7.410348162634079
id_23,18.71795533032141
id_24,14.93725026008459
id_25,36.719736694705325
id_26,17.961697005662717
id_27,75.78946287210537
id_28,12.309310248614477
id_29,56.2953517396496
id_30,25.113160865661484
id_31,4.610248674094046
id_32,2.483770554515046
id_33,24.759422261321287
id_34,30.48028046559119
id_35,38.463930746426655
id_36,44.20231060933004
id_37,30.086836019866006
id_38,40.4736750157401
id_39,29.226479902317372
id_40,5.6064560543439415
id_41,38.66601607878958
id_42,34.610213431877206
id_43,48.3896975073848
id_44,14.757247666944172
id_45,34.46682011087208
id_46,27.48310687418437
id_47,12.000879378154043
id_48,21.378036151603773
id_49,28.544403091663273
id_50,20.165513818411583
id_51,10.796678149746494
id_52,22.171035755750133
id_53,53.446263109352266
id_54,12.219581121610037
id_55,43.300968455171535
id_56,32.18233510328543
id_57,22.567217514570793
id_58,56.73951416554704
id_59,20.745052945295473
id_60,15.028854557473261
id_61,39.8553015903851
id_62,12.975340680728277
id_63,51.74165959283007
id_64,18.783369632539856
id_65,12.348752842777662
id_66,15.633623653541928
id_67,-0.05887147068500598
id_68,41.50801107307596
id_69,31.54874753065604
id_70,18.60425115754709
id_71,37.476819724880706
id_72,56.520390657623054
id_73,6.587877193521948
id_74,12.229339737435016
id_75,5.2036964041346305
id_76,47.92737510380062
id_77,13.020705685594663
id_78,17.110301693903583
id_79,20.60323453100204
id_80,21.28448156078461
id_81,38.69293529051183
id_82,30.020716675725836
id_83,88.76740666723548
id_84,35.98470023966825
id_85,26.756913553477172
id_86,23.963516843564424
id_87,32.74724282808306
id_88,22.18904375531994
id_89,20.992158853626538
id_90,29.555994316645446
id_91,40.99216886651781
id_92,8.625117809911561
id_93,32.3214718088779
id_94,46.59804436536756
id_95,22.884070826723548
id_96,31.518129728251658
id_97,11.198233479766117
id_98,28.527436642529608
id_99,0.29115068008964073
id_100,17.966961079539683
id_101,27.124163929470143
id_102,11.398232780652847
id_103,16.42642686567352
id_104,23.42526104692215
id_105,40.61608267056839
id_106,25.864125026560405
id_107,5.422736951672389
id_108,10.794921122256108
id_109,72.86213692992122
id_110,48.02283705948137
id_111,15.746808276903003
id_112,24.670410614177946
id_113,12.827793326536712
id_114,10.158057570240508
id_115,27.26922334202098
id_116,29.208738577932447
id_117,8.835339619930735
id_118,20.051088137129774
id_119,20.212333743764262
id_120,79.90600929870554
id_121,18.06161428826361
id_122,30.542809341304334
id_123,25.980792377728037
id_124,5.212577268164771
id_125,30.355697305856193
id_126,7.768322888914652
id_127,15.328268255393322
id_128,22.66636571769797
id_129,62.74205421109009
id_130,18.95078036798799
id_131,19.076355630838535
id_132,61.3715740916371
id_133,15.884562052629711
id_134,13.40941807770555
id_135,0.8487724836112861
id_136,7.83499671730414
id_137,57.0128290117968
id_138,25.607996751813833
id_139,4.961704729242086
id_140,36.41487903906277
id_141,28.79000672197594
id_142,49.194120961976346
id_143,40.3068698557345
id_144,13.316180593982674
id_145,27.661011875229164
id_146,17.158027524366773
id_147,49.68726256929682
id_148,23.03027229160479
id_149,39.24093652484278
id_150,13.196753889412523
id_151,5.94889370103943
id_152,25.821608976304237
id_153,8.25863421429163
id_154,19.14632051722559
id_155,43.18248652651675
id_156,6.7178435780930315
id_157,33.869615246810646
id_158,15.3699378469818
id_159,16.939044973551933
id_160,37.88533679463485
id_161,19.20248454105443
id_162,9.059504715654713
id_163,10.283399610648509
id_164,48.6724471256983
id_165,30.587716213230816
id_166,2.477409897532157
id_167,12.811603937805938
id_168,70.32478980976462
id_169,14.840967694067054
id_170,68.8655875667886
id_171,42.741992444866355
id_172,24.000261542920153
id_173,23.420724860321457
id_174,61.67212443568237
id_175,25.494202845059192
id_176,19.00480978686909
id_177,34.88668288189682
id_178,9.402313398379743
id_179,29.520011314408016
id_180,14.57396588570047
id_181,9.125563143203594
id_182,52.81258399813186
id_183,45.03953799438961
id_184,17.452434679183295
id_185,38.49393527971433
id_186,27.03891909264382
id_187,65.58170967424583
id_188,7.037306380769583
id_189,52.7144771341157
id_190,38.2064593370498
id_191,21.169801059557848
id_192,30.247556879488396
id_193,2.7144229897163155
id_194,19.93293258764083
